Fold,Model Name,Accuracy,Macro Precision,Macro Recall,Macro F1,ROC AUC,Class 0.0 Precision,Class 0.0 Recall,Class 1.0 Precision,Class 1.0 Recall,Class 2.0 Precision,Class 2.0 Recall
6,XGBoost ROS,0.8391471139263093,0.8392197189462832,0.839143888200962,0.8360019188190697,0.9408653783830817,0.8487285936689154,0.8753010436178753,0.836741214057508,0.701017130620985,0.832189349112426,0.9411134903640257
7,XGBoost ROS,0.8319207779462932,0.8321001391536512,0.8319173849788474,0.8283137052914946,0.9369091630178582,0.8378865979381444,0.8699491570778699,0.831979200519987,0.6852248394004282,0.8264346190028222,0.9405781584582441
8,XGBoost ROS,0.8369167633151932,0.8377824282461738,0.8369127655864145,0.8332183880977483,0.9408284157239062,0.8418497700562085,0.8817233074658817,0.8445834705301284,0.6865631691648822,0.8269140441521842,0.9424518201284796
9,XGBoost ROS,0.8241591578196092,0.8247102466338889,0.8241550245944208,0.8199922523672986,0.9338954379107357,0.8309067688378033,0.8704843457318705,0.8277352843365481,0.666220556745182,0.8154886867273151,0.9357601713062098
10,XGBoost ROS,0.8289767151396199,0.8286932261629224,0.8289738235065477,0.8254368222036431,0.9367141571890704,0.8322130299896587,0.8613861386138614,0.8247422680412371,0.6852248394004282,0.8291243804578712,0.9403104925053534
1,XGBoost SMOTE,0.8438001784121321,0.8429866375099059,0.8438013378570336,0.8421961901897141,0.9513658990115682,0.8486214209968187,0.8567987152034261,0.8273104265402843,0.7473909553117474,0.8530280649926145,0.9272143430559272
2,XGBoost SMOTE,0.8446030330062444,0.8437058738132212,0.8446039298356597,0.8430360385581871,0.9510039769562203,0.8447089947089947,0.8546573875802997,0.8280649926144756,0.75006689858175,0.8583436341161929,0.9290875033449291
3,XGBoost SMOTE,0.8387154326494202,0.8383096416205604,0.8387163532604202,0.8368679410923624,0.9489433543867097,0.8442906574394463,0.8490364025695931,0.8299217338952438,0.7377575595397378,0.840716533526991,0.9293550976719294
4,XGBoost SMOTE,0.8427297056199822,0.8419877409910658,0.8427306979207673,0.8411965230463337,0.9512428801053009,0.8450331125827815,0.8538543897216274,0.8284023668639053,0.7492641156007492,0.8525277435265105,0.925073588439925
5,XGBoost SMOTE,0.8384478144513827,0.8377194974405496,0.838448878309904,0.8366654441937628,0.9508546990005677,0.8406985975125695,0.8503747323340471,0.8255535607420706,0.7382927481937382,0.8469063340670091,0.9266791544019267
6,XGBoost SMOTE,0.8456597377107681,0.8451398050856849,0.8456597670878842,0.8441269552673978,0.9520432834870945,0.8496503496503497,0.8453304789938453,0.8345132743362832,0.7572269807280514,0.8512557912704218,0.9344218415417559
7,XGBoost SMOTE,0.8396823980729771,0.8387897818660573,0.8396814882599436,0.8379721072449406,0.9491822774550339,0.8462563282707167,0.8498795825528499,0.821227394011266,0.7414346895074947,0.8488856233161891,0.9277301927194861
8,XGBoost SMOTE,0.8441430992952093,0.8436366534268901,0.8441423487218217,0.8426491772983038,0.9518315995406247,0.848017034868246,0.8525555258228525,0.8335308056872038,0.7532119914346895,0.8493621197252208,0.9266595289079229
9,XGBoost SMOTE,0.835221696850745,0.8344250640019425,0.8352207232992527,0.8335943276633385,0.9471208977058675,0.848175965665236,0.8461332619748462,0.8146399055489965,0.7387580299785867,0.8404593207915954,0.9207708779443254
10,XGBoost SMOTE,0.8405745383174235,0.8396809975392688,0.8405743288606308,0.8389393853636101,0.9509060527832518,0.8435993572576326,0.8429221300508429,0.8231653404067197,0.7475910064239829,0.8522782949534542,0.9312098501070664
